Tema;parent;prioritat
Àlgebra;;1
Geometria;;2
Espais vectorials;Àlgebra;1
Càlcul;;3
Interpolació;Càlcul;2
Models matemàtics;;4
Models discrets;Models matemàtics;3
Operations Research;;5
Non-linear optimization;Operations Research;1
Duality;Operations Research;2
Network Analysis;Operations Research;3
Lagrange Multipliers;Non-linear optimization;1
Karush-Kuhn-Tucker theorem;Non-linear optimization;2
Simetria;Àlgebra;4
Transformacions afins;Àlgebra;2
Rotacions;Geometria;3
Proporció i Tales;Geometria;2
